,Datetime,Title,Description,Link,Label,MS,NR,Hard
0, 1 ساعت پیش ,مدیرعامل بورس کالای ایران: به دنبال راه اندازی اوراق سلف موازی استاندارد ارزی هستیم,مدیرعامل بورس کالای ایران گفت: به منظور تامین نیازهای ارزی شرکت ها به دنبال راه اندازی معاملات اوراق سلف موازی استاندارد ارزی با همکاری بانک مرکزی هستیم.,https://www.tasnimnews.com/fa/news/1402/02/16/2890173/مدیرعامل-بورس-کالای-ایران-به-دنبال-راه-اندازی-اوراق-سلف-موازی-استاندارد-ارزی-هستیم,0,,,0
1, 1 ساعت پیش ,راه‌اندازی سامانه بومی معاملات بورس تا پایان ۱۴۰۲,مدیرعامل شرکت مدیریت فناوری بورس تهران گفت: سامانه بومی معاملات بازار سهام تا پایان امسال به بهره‌برداری می رسد.,https://www.tasnimnews.com/fa/news/1402/02/16/2890146/راه-اندازی-سامانه-بومی-معاملات-بورس-تا-پایان-1402,0,,,0
2, 2 ساعت پیش ,مخالفت دولت با واگذاری سهام ۳ شرکت بزرگ به جاماندگان سهام عدالت,رئیس سازمان خصوصی سازی با بیان این که برای اختصاص سهام عدالت به جاماندگان ابتدا باید تامین اعتبار سهام ارزنده وجود داشته باشد گفت: معاونت حقوقی ریاست جمهوری با تخصیص سهام شرکت های مس، فولاد و پتروشیمی خلیج فارس مخالف کرده است.,https://www.tasnimnews.com/fa/news/1402/02/16/2890118/مخالفت-دولت-با-واگذاری-سهام-3-شرکت-بزرگ-به-جاماندگان-سهام-عدالت,-1,,,0
3, 3 ساعت پیش ,معافیت افراد تحت پوشش نهادهای حمایتی از مالیات واگذاری سهام عدالت,رییس کل سازمان امور مالیاتی معافیت مالیاتی واگذاری سهام عدالت به افراد تحت پوشش نهاد‌های حمایتی را ابلاغ کرد.,https://www.tasnimnews.com/fa/news/1402/02/16/2890086/معافیت-افراد-تحت-پوشش-نهادهای-حمایتی-از-مالیات-واگذاری-سهام-عدالت,0,,,0
4, 3 ساعت پیش ,سود ۱۲ هزار میلیارد تومانی ایران خودرو از عرضه محصولات در بورس کالا,مدیرعامل بورس کالای ایران گفت: در سال گذشته شرکت ایران خودرو به واسطه عرضه محصولاتش در بورس کالا ۱۲ همت سود به دست آورد که این مبلغ از دلالان اخذ و به شرکت رسید.,https://www.tasnimnews.com/fa/news/1402/02/16/2890081/سود-12-هزار-میلیارد-تومانی-ایران-خودرو-از-عرضه-محصولات-در-بورس-کالا,1,,,0
5, ۱۳ ارديبهشت ۱۴۰۲ - ۱۵:۴۶ ,رکورد شکنی ارزش معاملات بورس ادامه دارد/ ارزش معاملات از ۲۳ هزار میلیارد تومان گذشت,این روزها استقبال سهامداران به بازار سرمایه بیشتر از هر روزی است به نحوی که ارزش معاملات خرد در پایان معاملات امروز از ۲۳ هزار میلیارد تومان هم فرا تر رفته است.,https://www.tasnimnews.com/fa/news/1402/02/13/2889191/رکورد-شکنی-ارزش-معاملات-بورس-ادامه-دارد-ارزش-معاملات-از-23-هزار-میلیارد-تومان-گذشت,1,,,0
6, ۱۳ ارديبهشت ۱۴۰۲ - ۱۲:۵۴ ,گزارش روزانه بورس ۱۳ اردیبهشت/ شاخص کل آرام گرفت,بازار سهام که در روزهای گذشته صعود های شارپی را پشت سر گذاشته بود، همگام با کاهش نرخ ارز در بازار آزاد، نسبت به روزهای گذشته پرعرضه تر دنبال شد.,https://www.tasnimnews.com/fa/news/1402/02/13/2889047/گزارش-روزانه-بورس-13-اردیبهشت-شاخص-کل-آرام-گرفت,-1,,,0
7, ۱۲ ارديبهشت ۱۴۰۲ - ۱۲:۵۲ ,گزارش روزانه بورس ۱۲ اردیبهشت/ شاخص کل بر فراز قله ۲ میلیون و۵۰۰ هزار واحدی,با ورود پول حقیقی ها به بازار سرمایه، شاخص کل سهام توانست در معاملات روز جاری قله ی ۲.۵ میلیون واحدی را فتح کند.,https://www.tasnimnews.com/fa/news/1402/02/12/2888451/گزارش-روزانه-بورس-12-اردیبهشت-شاخص-کل-بر-فراز-قله-2-میلیون-و500-هزار-واحدی,1,,,0
8, ۱۲ ارديبهشت ۱۴۰۲ - ۱۰:۱۱ ,طرح مالیات بر عایدی سرمایه تنور بورس را داغ تر می‌کند؟,تصویب طرح مالیات بر عایدی سرمایه، می تواند سبب کاهش جذابیت بازار های موازی نسبت به بازار سرمایه شود و مانعی برای ورود نقدینگی سرگردان به بازارهای مسکن و خودرو و ارز محسوب شود.,https://www.tasnimnews.com/fa/news/1402/02/12/2888288/طرح-مالیات-بر-عایدی-سرمایه-تنور-بورس-را-داغ-تر-می-کند,1,,,0
9, ۱۲ ارديبهشت ۱۴۰۲ - ۱۰:۰۱ ,شاخص بورس ارتفاع ۲میلیون و ۵۰۰هزار واحدی را فتح کرد,شاخص کل بازار سهام همچنان به رکوردزنی‌های خود ادامه می‌دهد به‌صورتی که در روز جاری قلۀ ۲میلیون و ۵۰۰هزار واحدی را فتح کرده است.,https://www.tasnimnews.com/fa/news/1402/02/12/2888305/شاخص-بورس-ارتفاع-2میلیون-و-500هزار-واحدی-را-فتح-کرد,1,,,0
10, ۱۱ ارديبهشت ۱۴۰۲ - ۱۴:۵۹ ,سکه بورسی گران تر از سکه فیزیکی معامله شد,اگر چه قیمت سکه تمام بهار آزادی در بازار حدود ۳۵ میلیون تومان است اما سکه رفاه در بازار سرمایه امروز بالاتر از ۳۶ میلیون تومان هم معامله شد که نشان از حباب زیاد قیمتی نسبت به سکه فیزیکی دارد.,https://www.tasnimnews.com/fa/news/1402/02/11/2888022/سکه-بورسی-گران-تر-از-سکه-فیزیکی-معامله-شد,-1,,,0
11, ۱۱ ارديبهشت ۱۴۰۲ - ۱۳:۰۰ ,گزارش روزانه بورس ۱۱ اردیبهشت/ درجا زدن شاخص کل در روز صعود شاخص هم وزن,در روزی که اکثر سهام بزرگ بازار متعادل معامله شدند، شاخص هم وزن صعودی ۸ هزار واحدی را تجربه کرد.,https://www.tasnimnews.com/fa/news/1402/02/11/2887914/گزارش-روزانه-بورس-11-اردیبهشت-درجا-زدن-شاخص-کل-در-روز-صعود-شاخص-هم-وزن,,1,,0
12, ۱۱ ارديبهشت ۱۴۰۲ - ۰۸:۰۶ ,ثبت‌نام ۲۲۴ هزار نفر برای دریافت سهام نوزادان متولد ۱۴۰۱,تعداد ثبت‌نام کنندگان در سامانه حمایت از خانواده و جوانی جمعیت به منظور دریافت سهام نوزادان متولد سال ۱۴۰۱ تا دیروز ۲۲۴ هزار و ۶۳۳ نفر بوده است.,https://www.tasnimnews.com/fa/news/1402/02/11/2887678/ثبت-نام-224-هزار-نفر-برای-دریافت-سهام-نوزادان-متولد-1401,0,,,0
13, ۱۰ ارديبهشت ۱۴۰۲ - ۱۴:۲۰ ,واکنش بانک مرکزی به شایعات؛ تحویل فیزیکی مبنای تسویه با خریداران اوراق سکه است,همزمان با انتشار مطالبی مبنی بر عدم تحویل فیزیکی سکه به خریداران اوارق سکه از سوی بانک مرکزی،، معاون ارزی این بانک اعلام کرد: مبنای تحویل سکه به خریداران اوراق سکه به صورت فیزیکی است.,https://www.tasnimnews.com/fa/news/1402/02/10/2887386/واکنش-بانک-مرکزی-به-شایعات-تحویل-فیزیکی-مبنای-تسویه-با-خریداران-اوراق-سکه-است,1,,,0
14, ۱۰ ارديبهشت ۱۴۰۲ - ۱۲:۵۳ ,گزارش روزانه بورس ۱۰ اردیبهشت/ بورس همچنان بر مدار صعود,شاخص کل بازار سهام دومین روز کاری هفته را با رشدی ۴۰ هزار واحدی به پایان رساند و خود را به ارتفاع ۲ میلیون و ۵۰۰ هزار واحدی نزدیک تر کرد.,https://www.tasnimnews.com/fa/news/1402/02/10/2887309/گزارش-روزانه-بورس-10-اردیبهشت-بورس-همچنان-بر-مدار-صعود,1,,,0
15, ۱۰ ارديبهشت ۱۴۰۲ - ۰۸:۱۷ ,معامله بیش از ۲ میلیون تن انواع کالا و محصول در بازار فیزیکی,بیش از ۲ میلیون و ۱۳۲ هزار و ۲۴۰ تن انواع کالا و محصول به ارزش بیش از ۲۲.۵ هزار میلیارد تومان در هفته گذشته در بازار فیزیکی بورس کالای ایران دادوستد شد.,https://www.tasnimnews.com/fa/news/1402/02/10/2887085/معامله-بیش-از-2-میلیون-تن-انواع-کالا-و-محصول-در-بازار-فیزیکی,1,,,0
16, ۱۰ ارديبهشت ۱۴۰۲ - ۰۸:۱۵ ,همه گیر شدن سرمایه‌گذاری در بورس، با اختصاص صندوق‌ها به نوزادان,یک کارشناس بازار سرمایه گفت: با فرهنگ سازی و اقداماتی همچون اختصاص واحدهای صندوق‌های قابل معامله برای متولدین، سرمایه‌گذاری غیرمستقیم در بازار سرمایه مرسوم و همه‌گیر می‌شود.,https://www.tasnimnews.com/fa/news/1402/02/10/2887087/همه-گیر-شدن-سرمایه-گذاری-در-بورس-با-اختصاص-صندوق-ها-به-نوزادان,1,,,0
